incident_month,incident_year,injury_severity,latitude,longitude,month_year,shark_behaviour_generic,shark_behaviour_specific,site_category_cleaned,state_names,victim_injury,location,provoked_unprovoked,victim_gender,victim_activity,shark_common_name,shark_scientific_name,no_sharks,reference,injury_location,data_source,shark_identification_method,shark_behaviour,victim_age
1,1791,major_lacerations,-33.86666666666667,151.2,1791-01-01,unknown,unknown,coastal,New South Wales,fatal,near sydney,unprovoked,female,swimming,white shark,Carcharodon carcharias ,,"shark&survl, whitley 1958, book ref 1793",torso,book,"bite analysis, shark behaviour, geographical location",unknown,
3,1803,nan,-25.833333333333332,113.88333333333334,1803-03-01,swam_at_victim,swam_at_victim,coastal,Western Australia,injured,"hamelin bay, faure island",unprovoked,male,swimming,tiger shark,Galeocerdo cuvier ,1.0,"balgridge,green,taylor,whitley 1940",unknown,book,"bite analysis, shark behaviour, geographical location",swam at victim,
1,1807,minor_lacerations,-33.86666666666667,151.2,1807-01-01,bit_victim_on_wrist,bit_victim_on_wrist,estuary_harbour,New South Wales,injured,"cockle bay, sydney harbour",unprovoked,male,swimming,bull shark,Carcharhinus leucas,1.0,sydney gazette 18.1.1807,"arm, hand",media outlet,"bite analysis, shark behaviour",bit victim on wrist,
1,1820,major_lacerations,-42.8,147.53333333333333,1820-01-01,bit_leg,bit_leg,coastal,Tasmania,fatal,"sweetwater point, pitt water",provoked,male,swimming,shark_not_known,shark_not_known,1.0,"shark&survl, c. black researcher",leg,witness account,unknown,bit victim on leg,
1,1825,minor_lacerations,-33.85,151.21666666666667,1825-01-01,bit_leg,bit_leg,estuary_harbour,New South Wales,injured,"kirribili point, sydney harbour",unprovoked,male,swimming,bull shark,Carcharhinus leucas,1.0,maitland daily mercury 13.11.1899,leg,media outlet,"bite analysis, shark behaviour, geographical location",bit legs,15.0
1,1830,major_lacerations,-43.28333333333333,147.33333333333334,1830-01-01,bit_arm,bit_arm,island_open_ocean,Tasmania,injured,bruny island,unprovoked,female,swimming,white shark,Carcharodon carcharias ,1.0,the mercury 7.3.1923,arm,media outlet,"bite analysis, shark behaviour, geographical location",bit victim on arms,
1,1832,minor_lacerations,-33.86666666666667,151.18333333333334,1832-01-01,bit_leg,bit_leg,estuary_harbour,New South Wales,injured,"blackwattle bay, glebe, sydney harbour",provoked,male,swimming,bull shark,Carcharhinus leucas,,smh 23.1.1832,leg,media outlet,"bite analysis, shark behaviour, geographical location",bit victim on leg,
6,1832,major_lacerations,-33.833333333333336,151.26666666666668,1832-06-01,bit_leg,bit_leg,coastal,New South Wales,injured,"south head, sydney harbour",provoked,female,fishing,white shark,Carcharodon carcharias ,1.0,sydney herald 11.6.1832,leg,media outlet,"bite analysis, shark behaviour, geographical location",bit victim on leg,
1,1836,nan,-34.95,138.5,1836-01-01,unknown,unknown,coastal,South Australia,injured,holdfast bay,unprovoked,male,swimming,white shark,Carcharodon carcharias ,,sharpe     date?,unknown,book,"bite analysis, shark behaviour, geographical location",unknown,
8,1836,nan,-25.483333333333334,152.98333333333332,1836-08-01,bit_other,bit_victim_on_body,coastal,Queensland,fatal,fraser island,unprovoked,male,swimming,whaler shark,Carcharhinidae,1.0,"shipwrecks, evan mchugh",other: body not recovered,book,geoghraphical location,bit victim on body,
8,1836,nan,-25.483333333333334,152.98333333333332,1836-08-01,bit_other,bit_victim_on_body,coastal,Queensland,fatal,fraser island,unprovoked,male,swimming,whaler shark,Carcharhinidae,1.0,"shipwrecks, evan mchugh",other: body not recovered,book,geoghraphical location,bit victim on body,
1,1837,major_lacerations,-30.933333333333334,153.01666666666668,1837-01-01,bit_leg,bit_leg,river,New South Wales,fatal,macleay river,unprovoked,male,swimming,bull shark,Carcharhinus leucas,1.0,"green,baldridge, colonial times 14.2.1837",leg,media outlet,"bite analysis, shark behaviour, geographical location",bit victim on leg,12.0
8,1839,major_lacerations,-38.983333333333334,146.45,1839-08-01,bit_leg,bit_leg,coastal,Victoria,fatal,"sealer's cove, wilson's promontory",provoked,male,swimming,white shark,Carcharodon carcharias ,1.0,colonial times 20.8.1839,leg,media outlet,"bite analysis, shark behaviour",bit legs,
12,1840,major_lacerations,-33.85,151.21666666666667,1840-12-01,unknown,unknown,estuary_harbour,New South Wales,fatal,"wooloomooloo bay, sydney harbour",unprovoked,male,swimming,bull shark,Carcharhinus leucas,1.0,cairns post 13.2.1919,leg,media outlet,"bite analysis, shark behaviour, geographical location",unknown,
4,1841,major_lacerations,-33.833333333333336,151.16666666666666,1841-04-01,bit_leg,bit_leg,estuary_harbour,New South Wales,fatal,"cockatoo island, sydney harbour",unprovoked,male,swimming,bull shark,Carcharhinus leucas,1.0,the sydney herald 27.4.1841,thigh,media outlet,"bite analysis, shark behaviour, geographical location",bit victim on leg,
3,1847,major_lacerations,-27.25,153.25,1847-03-01,unknown,unknown,coastal,Queensland,injured,moreton bay,unprovoked,male,swimming,bull shark,Carcharhinus leucas,,"green, whitley 1958, the queenslander 12.3.1921",foot,media outlet,"bite analysis, shark behaviour, geographical location",unknown,
11,1847,major_lacerations,-27.433333333333334,153.08333333333334,1847-11-01,bit_victim_onleg_thigh,bit_victim_onleg_thigh,river,Queensland,injured,brisbane river,unprovoked,male,swimming,bull shark,Carcharhinus leucas,1.0,"morton bay courrier 4.12.1847, maitland mercury 15.12.1847","thigh, calf",media outlet,"bite analysis, shark behaviour, geographical location",bit victim onleg - thigh,
1,1849,nan,-33.36666666666667,115.28333333333333,1849-01-01,unknown,unknown,ocean_pelagic,Western Australia,fatal,"quindalup, busselton",provoked,male,swimming,white shark,Carcharodon carcharias ,1.0,bunbury herald 7.6.1849,unknown,media outlet,"shark behaviour, geographical location",unknown,
12,1849,other_teeth_marks,-38.333333333333336,141.6,1849-12-01,bit_leg,bit_leg,coastal,Victoria,injured,portland,unprovoked,male,swimming,white shark,Carcharodon carcharias ,1.0,portland guardian 1.12.1874,leg,media outlet,"shark behaviour, geographical location",bit leg,
12,1849,major_lacerations,-33.81666666666667,151.2,1849-12-01,bit_other,bit_victim_on_body,estuary_harbour,New South Wales,fatal,"woolloomooloo bay, sydney harbour",unprovoked,male,swimming,bull shark,Carcharhinus leucas,1.0,smh 3.12.1849,thigh,media outlet,"bite analysis, shark behaviour, geographical location",bit victim on body,
1,1850,nan,-27.283333333333335,153.21666666666667,1850-01-01,attacked,bit_victim,coastal,Queensland,fatal,moreton bay,unprovoked,male,swimming,tiger shark,Galeocerdo cuvier ,1.0,the queenslander 6.2.1909,other: body not recovered,media outlet,"bite analysis, shark behaviour, geographical location",bit victim,
3,1850,nan,-29.416666666666668,153.33333333333334,1850-03-01,unknown,unknown,coastal,New South Wales,injured,"yamba, clarence head",unprovoked,male,swimming,whaler shark,Carcharhinidae,1.0,clarence & richmond examiner 8.11.1881,unknown,media outlet,"bite analysis, shark behaviour, geographical location",unknown,
11,1853,minor_lacerations,-33.85,151.21666666666667,1853-11-01,bit_leg,bit_leg,estuary_harbour,New South Wales,injured,sydney harbour,provoked,male,swimming,wobbegong,Orectolobidae,1.0,empire 14.11.1853,leg,media outlet,"bite analysis, shark behaviour, geographical location",bit leg,
1,1855,major_lacerations,-25.5,152.71666666666667,1855-01-01,bit_leg,bit_victims_leg_off,river,Queensland,injured,mary river,unprovoked,female,swimming,bull shark,Carcharhinus leucas,1.0,capricornian 15.9.1923,leg,media outlet,"bite analysis, shark behaviour, geographical location",bit victims leg off,
1,1855,nan,-33.85,151.21666666666667,1855-01-01,swam_at_victim,swam_at_victim,estuary_harbour,New South Wales,uninjured,"woolloomooloo bay, sydney harbour",unprovoked,male,swimming,bull shark,Carcharhinus leucas,1.0,evening news 6.1.1915,other: uninjured,media outlet,"shark behaviour, geographical location",swam towards victim,
7,1855,major_lacerations,-10.566666666666666,142.2,1855-07-01,bit_torso,bit_torso,island_open_ocean,Queensland,fatal,hammond island,unprovoked,male,swimming,tiger shark,Galeocerdo cuvier ,1.0,freemans journal 25.8.1855,torso,media outlet,"bite analysis, shark behaviour, geographical location",bit victim on torso,
11,1855,major_lacerations,-33.86666666666667,151.2,1855-11-01,bit_victim_from_below,bit_victim_from_below,estuary_harbour,New South Wales,fatal,"millers point, sydney harbour",unprovoked,male,swimming,bull shark,Carcharhinus leucas,1.0,the maitland mercury 14.11.1855,leg,media outlet,"bite analysis, shark behaviour, geographical location",bit victim from below,
2,1856,major_lacerations,-38.13333333333333,144.41666666666666,1856-02-01,bit_leg,bit_leg,coastal,Victoria,injured,"port phillip bay, point henry",unprovoked,male,swimming,white shark,Carcharodon carcharias ,1.0,the argus 16.2.1856,"thigh, foot",media outlet,"bite analysis, shark behaviour, geographical location",bit victim on leg,18.0
5,1856,nan,-35.53333333333333,138.68333333333334,1856-05-01,unknown,unknown,coastal,South Australia,injured,"port elliot, horseshoe bay",unprovoked,male,unknown,wobbegong,Orectolobidae,1.0,the register sa 24.5.1906,unknown,media outlet,"bite analysis, shark behaviour, geographical location",unknown,
3,1858,major_lacerations,-37.85,144.9,1858-03-01,bit_leg,bit_leg,coastal,Victoria,fatal,"hobson's bay, port phillip bay",unprovoked,male,swimming,white shark,Carcharodon carcharias ,1.0,the argus 16.3.1858,calf,media outlet,"bite analysis, shark behaviour, geographical location",bit victim on leg,22.0
1,1860,major_lacerations,-35.56666666666667,138.6,1860-01-01,unknown,unknown,coastal,South Australia,injured,encounter bay,unprovoked,male,swimming,white shark,Carcharodon carcharias ,,south australian chronicle 15.12.1894,arm,media outlet,"bite analysis, shark behaviour, geographical location",unknown,
1,1861,minor_lacerations,-27.516666666666666,153.26666666666668,1861-01-01,bit_victim_on_hand,bit_victim_on_hand,coastal,Queensland,injured,"cleveland, moreton bay",unprovoked,male,swimming,wobbegong,Orectolobidae,1.0,moreton bay courier 15.1.1861,"arm, hand",media outlet,"bite analysis, shark behaviour, geographical location",bit victim on hand,
2,1862,abrasion,-37.85,144.9,1862-02-01,grazed,grazed,coastal,Victoria,injured,"huttons wharf, port phillip bay",unprovoked,male,swimming,white shark,Carcharodon carcharias ,1.0,geelong advertiser 19.2.1862,leg,media outlet,"bite analysis, shark behaviour, geographical location",grazed leg with fin,
